Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player_Link
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9D/H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*98/H35,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*64/HD,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3H/D,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D/H,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9/DH,
2025,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*879/D,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7H/D8,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5463H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*84/H,
2025,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D978/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65/H,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*798/HD,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4/6HD,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*89/HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*78/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53/DH7,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D7/H9,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2D/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4D75/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D97H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653HD/7948,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*46H,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9H8/7D1,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4D/H,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D9/H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4/DH3,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/DH,
2025,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D/H97,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2/DH,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9/DH,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379D/H1,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7D/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9/H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7DH3,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8H/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43D/H5,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D9H/7,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/HD,
